,breed
eskimo_dog,66
briard,66
golden_retriever,67
brabancon_griffon,67
komondor,67
walker_hound,69
giant_schnauzer,69
tibetan_mastiff,69
otterhound,69
german_shepherd,69
vizsla,70
french_bulldog,70
kuvasz,71
chihuahua,71
soft-coated_wheaten_terrier,71
curly-coated_retriever,72
flat-coated_retriever,72
border_collie,72
redbone,72
standard_schnauzer,72
malinois,73
brittany_spaniel,73
doberman,74
cocker_spaniel,74
american_staffordshire_terrier,74
german_short-haired_pointer,75
english_springer,75
pekinese,75
boxer,75
borzoi,75
great_dane,75
bull_mastiff,75
rottweiler,76
dhole,76
shetland_sheepdog,76
cardigan,76
black-and-tan_coonhound,77
miniature_schnauzer,78
norwich_terrier,78
appenzeller,78
irish_water_spaniel,78
sussex_spaniel,78
standard_poodle,79
welsh_springer_spaniel,79
miniature_poodle,79
staffordshire_bullterrier,79
toy_terrier,79
clumber,80
affenpinscher,80
toy_poodle,80
dingo,80
mexican_hairless,80
malamute,81
west_highland_white_terrier,81
gordon_setter,81
keeshond,81
greater_swiss_mountain_dog,82
groenendael,82
basset,82
wire-haired_fox_terrier,82
yorkshire_terrier,82
kerry_blue_terrier,82
irish_terrier,82
scotch_terrier,82
norfolk_terrier,83
english_setter,83
chesapeake_bay_retriever,83
labrador_retriever,84
saint_bernard,84
bluetick,85
weimaraner,85
bloodhound,85
african_hunting_dog,86
kelpie,86
bouvier_des_flandres,86
schipperke,86
english_foxhound,86
boston_bull,87
old_english_sheepdog,87
collie,87
sealyham_terrier,88
irish_setter,88
rhodesian_ridgeback,88
bedlington_terrier,89
dandie_dinmont,89
silky_terrier,90
lhasa,90
border_terrier,91
ibizan_hound,91
newfoundland,91
italian_greyhound,92
pembroke,92
chow,93
pug,94
siberian_husky,95
norwegian_elkhound,95
whippet,95
papillon,96
lakeland_terrier,99
saluki,99
irish_wolfhound,101
blenheim_spaniel,102
australian_terrier,102
miniature_pinscher,102
japanese_spaniel,105
beagle,105
cairn,106
leonberg,106
tibetan_terrier,107
airedale,107
samoyed,109
basenji,110
pomeranian,111
great_pyrenees,111
shih-tzu,112
bernese_mountain_dog,114
entlebucher,115
afghan_hound,116
maltese_dog,117
scottish_deerhound,126
